lane,event,start_us,end_us,detail
"tile 0,3 core",ACTIVE,6274.168050,6274.179051,cycles 131203978..131203988 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6274.178051,6274.179051,cycles 131203988..131203988 (1 cyc)
"tile 0,3 core",ACTIVE,6274.178051,6274.228058,cycles 131203988..131204037 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6274.227057,6274.262062,cycles 131204037..131204071 (35 cyc)
"tile 0,3 core",ACTIVE,6274.261062,6274.272063,cycles 131204071..131204081 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6274.271063,6274.272063,cycles 131204081..131204081 (1 cyc)
"tile 0,3 core",ACTIVE,6274.271063,6274.322070,cycles 131204081..131204131 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6274.321070,6325.815924,cycles 131204131..131255618 (51488 cyc)
"tile 0,3 core",ACTIVE,6325.814923,6325.825925,cycles 131255618..131255628 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6325.824925,6325.825925,cycles 131255628..131255628 (1 cyc)
"tile 0,3 core",ACTIVE,6325.824925,6325.874931,cycles 131255628..131255677 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6325.873931,6325.874931,cycles 131255677..131255677 (1 cyc)
"tile 0,3 core",ACTIVE,6325.873931,6325.884933,cycles 131255677..131255687 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6325.883933,6325.884933,cycles 131255687..131255687 (1 cyc)
"tile 0,3 core",ACTIVE,6325.883933,6325.934939,cycles 131255687..131255737 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6325.933939,6326.126965,cycles 131255737..131255929 (193 cyc)
"tile 0,3 core",ACTIVE,6326.125965,6326.136966,cycles 131255929..131255939 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6326.135966,6326.136966,cycles 131255939..131255939 (1 cyc)
"tile 0,3 core",ACTIVE,6326.135966,6326.185973,cycles 131255939..131255988 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6326.184973,6326.185973,cycles 131255988..131255988 (1 cyc)
"tile 0,3 core",ACTIVE,6326.184973,6326.195974,cycles 131255988..131255998 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6326.194974,6326.195974,cycles 131255998..131255998 (1 cyc)
"tile 0,3 core",ACTIVE,6326.194974,6326.206976,cycles 131255998..131256009 (12 cyc)
